machine_operation_time,ejector_forward_time,ejector_backward_time,injection_time,holding_pressure_time,metering_time,max_injection_pressure,holding_pressure_switch
32.8843,0.738313,0.737455,2.00042,2.00093,9.55564,1303.53,1079.67
32.4051,0.738226,0.737614,1.50044,2.00094,8.78175,1130.15,993.28
32.9398,0.738435,0.737362,2.00049,2.00097,9.58261,1308.96,1080.17
32.4203,0.738356,0.737479,1.50045,2.00082,8.88865,1151.74,1095.05
32.4,0.738376,0.738358,1.50006,2.00074,9.00958,1153.13,1092.77
32.9601,0.738395,0.737467,2.00042,2.00104,9.83955,1314.39,1081.06
32.7001,0.738293,0.737635,1.8004,2.00001,9.56656,1329.16,1120.45
32.8849,0.738373,0.73763,2.00032,2.00107,9.62473,1310.6,1080.93
32.4,0.73804,0.737638,1.50031,2.00097,8.76053,1126.99,993.154
32.8587,0.73839,0.737485,2.00033,2.00096,9.77889,1311.23,1082.45
32.3634,0.73833,0.737506,1.50042,2.00079,9.13087,1320.2,1158.08
32.9061,0.738447,0.737395,2.00046,2.00103,9.60164,1310.47,1082.19
32.419,0.738367,0.7375,1.50051,2.00087,8.91987,1153.13,1093.28
32.9399,0.738435,0.737488,2.0005,2.00089,9.95064,1322.09,1083.96
32.6599,0.738286,0.737626,1.80042,2.00091,9.67168,1329.41,1119.95
32.6779,0.737646,0.737384,1.80029,2.00089,9.59361,1340.65,1103.15
32.86,0.73833,0.737407,2.00032,2.00095,9.58764,1325.37,1089.77
32.7001,0.737993,0.737759,1.80042,2.00094,9.77288,1328.15,1120.45
32.6786,0.738309,0.737524,1.80044,2.00097,9.73476,1329.29,1120.58
32.8849,0.738513,0.737525,2.0004,2.0011,9.85767,1323.48,1085.1
32.4182,0.738441,0.738386,1.50032,2.00082,8.84554,1153.51,1094.04
32.4,0.738399,0.737417,1.50042,2.0008,8.84878,1152.12,1094.16
32.9202,0.738282,0.737537,2.00042,2.00004,9.1586,1335.6,1105.17
32.4261,0.738404,0.737536,1.50048,2.00083,9.02062,1156.16,1092.14
32.8843,0.738208,0.737687,2.00044,2.00105,10.0036,1315.27,1083.46
32.9458,0.738256,0.73754,2.00038,2.00115,9.56962,1313.25,1081.18
32.6984,0.738346,0.737506,1.80039,2.00088,9.56668,1327.65,1119.44
32.86,0.738351,0.736418,2.00045,2.00094,9.98057,1322.34,1084.84
32.46,0.738388,0.737477,1.50034,2.00089,9.17461,1317.92,1158.08
32.3999,0.738408,0.737509,1.50028,2.00088,9.46975,1125.86,994.29
32.6815,0.738315,0.737613,1.80029,2.0009,11.2276,1331.81,1117.55
32.6807,0.738377,0.737503,1.80044,2.00092,9.56881,1328.91,1118.3
32.6589,0.738421,0.737375,1.80041,2.00084,9.61164,1331.94,1123.73
32.9023,0.738317,0.737534,2.0006,2.00079,9.80677,1313.0,1080.93
32.6863,0.738427,0.737454,1.7004,2.0011,7.19555,1317.02,1101.61
32.88,0.738363,0.737343,2.00042,2.00102,9.92063,1322.47,1084.34
32.6801,0.738354,0.737481,1.80051,2.00087,9.50159,1330.8,1122.47
32.4442,0.738218,0.737565,1.50043,2.00086,8.62161,1317.29,1157.32
32.6803,0.738492,0.737194,1.80034,2.0009,9.74055,1331.69,1124.49
32.4598,0.738417,0.737477,1.50044,2.00097,9.24652,1318.05,1157.82
32.7001,0.737986,0.737603,1.80041,2.00099,9.76569,1333.45,1121.33
32.4,0.739342,0.737461,1.50042,2.00094,8.91774,1130.78,993.028
32.3787,0.738264,0.7375,1.50031,2.00093,9.15664,1315.52,1154.16
32.9005,0.738203,0.73778,2.00038,2.0,9.76078,1324.24,1084.21
32.3803,0.738446,0.737617,1.50047,2.00082,9.19763,1151.86,1096.06
32.8801,0.73798,0.737564,2.0003,2.0,9.81262,1322.34,1083.33
32.8797,0.73833,0.737463,2.00037,2.00102,9.69866,1325.5,1088.38
32.678,0.738281,0.73748,1.80042,2.00092,9.65277,1327.52,1118.3
32.6801,0.738331,0.73754,1.80042,2.00089,9.67072,1329.92,1121.46
32.6999,0.738207,0.737591,1.80041,2.00094,9.53155,1330.42,1123.23
32.3801,0.738355,0.737387,1.50039,2.00088,9.12246,1319.19,1156.31
32.92,0.738327,0.737627,2.00025,2.00001,9.68165,1323.86,1085.73
32.4387,0.738399,0.737514,1.50027,2.00086,9.02462,1154.39,1091.64
32.9399,0.738348,0.737488,2.00057,2.00083,9.68877,1331.69,1098.35
32.8844,0.738228,0.737449,2.0004,2.00095,9.7655,1324.74,1089.14
32.8589,0.738205,0.73747,2.00041,2.00101,9.85362,1322.97,1085.1
32.8791,0.738356,0.73747,2.00049,2.00097,9.69967,1311.61,1080.55
